date,healthy,sick
2014-08-24,90.3,9.7
2014-08-31,90.4,9.6
2014-09-07,88.5,11.5
2014-09-14,86.4,13.6
2014-09-21,80.4,19.6
2014-09-28,80,20
2014-10-05,78.6,21.4
2014-10-12,83.4,16.6
2014-10-19,89.3,10.7
2014-10-26,87.6,12.4
2014-11-02,84.7,15.3
2014-11-09,84.8,15.2
2014-11-16,87.4,12.6
2014-11-23,87.8,12.2
2014-11-30,87.9,12.1
2014-12-07,88.5,11.5
2014-12-14,88.4,11.6
2014-12-21,85.8,14.2
2014-12-28,81.7,18.3
2015-01-04,79.6,20.4
2015-01-11,85.2,14.8
2015-01-18,89.1,10.9
2015-01-25,85.5,14.5
2015-02-01,87.1,12.9
2015-02-08,84.3,15.7
2015-02-15,84.8,15.2
2015-02-22,85.2,14.8
2015-03-01,85.6,14.4
2015-03-08,87.7,12.3
2015-03-15,84.1,15.9
2015-03-22,80.7,19.3
2015-03-29,84.2,15.8
2015-04-05,83.2,16.8
2015-04-12,85.2,14.8
2015-04-19,84.7,15.3
2015-04-26,85.1,14.9
2015-05-03,85.6,14.4
2015-05-10,86.8,13.2
2015-05-17,88.2,11.8
2015-05-24,87.7,12.3
2015-05-31,88.7,11.3
2015-06-07,84.6,15.4
2015-06-14,83.1,16.9
2015-06-21,89.8,10.2
2015-06-28,86.9,13.1
2015-07-05,89.9,10.1
2015-07-12,93.8,6.2
2015-07-19,89.2,10.8
2015-07-26,88.4,11.6
2015-08-02,85.7,14.3
2015-08-09,86.2,13.8
2015-08-16,88.4,11.6
2015-08-23,86.2,13.8
2015-08-30,84.2,15.8
2015-09-06,88.6,11.4
2015-09-13,88.3,11.7
2015-09-20,86.7,13.3
2015-09-27,84.9,15.1
2015-10-04,84.9,15.1
2015-10-11,85.3,14.7
2015-10-18,84.7,15.3
2015-10-25,86.7,13.3
2015-11-01,84.5,15.5
2015-11-08,83.5,16.5
2015-11-15,87.2,12.8
2015-11-22,87.7,12.3
2015-11-29,81.6,18.4
2015-12-06,86.1,13.9
2015-12-13,88.2,11.8
2015-12-20,87.1,12.9
2015-12-27,85.5,14.5
2016-01-03,79.3,20.7
2016-01-10,78.8,21.2
2016-01-17,82.1,17.9
2016-01-24,85.7,14.3
2016-01-31,87.8,12.2
2016-02-07,87.4,12.6
2016-02-14,82.6,17.4
2016-02-21,78.5,21.5
2016-02-28,77.4,22.6
2016-03-06,81.8,18.2
2016-03-13,84.5,15.5
2016-03-20,88,12
2016-03-27,86.8,13.2
2016-04-03,77.1,22.9
2016-04-10,85.1,14.9
2016-04-17,88,12
2016-04-24,84.4,15.6
2016-05-01,81.8,18.2
2016-05-08,80.6,19.4
2016-05-15,80.3,19.7
2016-05-22,84.1,15.9
2016-05-29,88.5,11.5
2016-06-05,88.8,11.2
2016-06-12,83.4,16.6
2016-06-19,84.3,15.7
2016-06-26,84.1,15.9
2016-07-03,81.4,18.6
2016-07-10,88.2,11.8
2016-07-17,91,9
2016-07-24,89.4,10.6
2016-07-31,88.5,11.5
2016-08-07,93,7
2016-08-14,88.6,11.4
2016-08-21,84.2,15.8
2016-08-28,88.5,11.5
2016-09-04,88.9,11.1
2016-09-11,85.7,14.3
2016-09-18,87.3,12.7
2016-09-25,87.9,12.1
2016-10-02,85.8,14.2
2016-10-09,86.6,13.4
2016-10-16,82.8,17.2
2016-10-23,84.6,15.4
2016-10-30,85.2,14.8
2016-11-06,84.6,15.4
2016-11-13,85.3,14.7
2016-11-20,82.6,17.4
2016-11-27,82.9,17.1
2016-12-04,87.3,12.7
2016-12-11,90.3,9.7
2016-12-18,89.9,10.1
2016-12-25,84.5,15.5
2017-01-01,80.5,19.5
2017-01-08,78.9,21.1
2017-01-15,84.7,15.3
2017-01-22,80,20
2017-01-29,76.7,23.3
2017-02-05,83.4,16.6
2017-02-12,82.3,17.7
2017-02-19,76.4,23.6
2017-02-26,78.6,21.4
2017-03-05,82.9,17.1
2017-03-12,80.8,19.2
2017-03-19,84.1,15.9
2017-03-26,81.8,18.2
2017-04-02,79.6,20.4
2017-04-09,83.4,16.6
2017-04-16,87.2,12.8
2017-04-23,86.3,13.7
2017-04-30,88.4,11.6
2017-05-07,87.6,12.4
2017-05-14,89,11
2017-05-21,89.5,10.5
2017-05-28,85,15
2017-06-04,86.2,13.8
2017-06-11,84.6,15.4
2017-06-18,84.8,15.2
