date,Arab-American,Asian/Pacific Islander,Black,Hispanic/Latino,Native American,Other,Unknown,White
2016-12-01,,,M,M,,,,M
2016-12-02,,,,,,,,"M,M,M,M"
2016-12-03,,,,M,,,,
2016-12-04,M,,M,,,,,
2016-12-06,,,,,,,,"M,M,M,M"
2016-12-08,,,,,,,,M
2016-12-09,,M,,,,,,"M,M,M"
2016-12-10,,,M,,,,,M
2016-12-11,,,,M,,,,"M,M,M,F"
2016-12-12,,,,M,,,M,M
2016-12-13,,,"M,M",,,,,
2016-12-15,,,M,,,,,M
2016-12-16,,,,,,,,M
2016-12-17,,,,M,M,,,M
2016-12-18,,,M,,,,,"M,M"
2016-12-19,,,,,,,M,M
2016-12-20,,,,,,,"M,M",M
2016-12-21,,,M,"M,M,M",,,,"M,M,M,M"
2016-12-22,,,M,,,,M,
2016-12-23,,,,M,,,,M
2016-12-24,,M,,,,,M,"F,M"
2016-12-25,,,M,,,,M,"M,M"
2016-12-27,,,,M,M,,,"M,F,M,M"
2016-12-28,,,,,,,,"M,M"
2016-12-29,,,M,,,,,
2016-12-30,,,M,,,,,M
2016-12-31,,,,,,,,"M,M,M,M"
