date,Arab-American,Asian/Pacific Islander,Black,Hispanic/Latino,Native American,Other,Unknown,White
2015-06-11,,,"M,M","M,M",,,,M
2015-06-12,,,,,,,,"F,M"
2015-06-13,,,"M,M",,,,,"M,M,F,M"
2015-06-14,,,,M,,,,M
2015-06-15,,,"M,M",,,,,
2015-06-16,,,M,,,,,"F,M"
2015-06-17,,,,,M,,,"F,M"
2015-06-18,,,,,,,,M
2015-06-19,,,M,"M,M",,,,
2015-06-21,,,,"M,M",,,,M
2015-06-22,,,M,M,,,,"M,M"
2015-06-23,,,,,,,,"M,M,M,M"
2015-06-24,,,M,,,,,
2015-06-25,,,M,,,,,M
2015-06-26,,,,M,,,,M
2015-06-20,,,"M,M",,,,,
2015-06-27,,,,,,,,M
2015-06-28,,,,,,,,"M,M"
2015-06-29,,,,,,,,M
2015-06-30,,,,,,,,M
2015-07-01,,,M,,,,,"M,M"
2015-07-02,,M,M,,,,M,"M,M"
2015-07-04,,,"M,M,M",,,,,"M,M"
2015-07-03,,,,"M,M,M,M",,,,
2015-07-05,,,,M,,,,"M,M,M,M"
2015-07-06,,,M,M,,,,"M,M,M,M,M"
2015-07-07,,,"M,M","M,M",,,,"M,M,M"
2015-07-08,,,M,,,,,"M,M"
2015-07-09,,,"M,M",,,,,"M,M,M,M"
2015-07-10,,,"M,M",,,,,M
2015-07-11,,,M,,,,,M
2015-07-12,,,"M,M",,M,,,"M,M,M"
2015-07-13,,,,M,,,,"M,M,M,M"
2015-07-14,,,M,,,,,"M,M"
2015-07-15,,,,,,,,M
2015-07-16,M,,"M,M",M,,,,"M,M,M"
2015-07-17,,,"M,M",M,,,,"M,M"
2015-07-18,,,,M,,,,"M,M,M,M"
2015-07-19,,,M,,,,,
2015-07-20,,M,,"M,M",,,,"M,M"
2015-07-22,,,"M,M","M,M",,,,M
2015-07-21,,,,,,,,"M,M,M"
2015-07-23,,,M,,,,,"M,M,M,F"
2015-07-24,,,,,,,,"M,M"
2015-07-25,,,"M,M",,,,,"M,M"
2015-07-26,,,M,,,,,M
2015-07-27,,,,,,,,"M,M,M"
2015-07-28,,,,,,,,"M,M,M"
2015-07-29,,,,"M,M,M",,,,
2015-07-30,,M,,,,,,"M,M"
2015-07-31,,,,"M,M",,,,M
2015-08-01,,,,,,,"M,M","M,M"
2015-08-03,,,M,,,,,"M,M,M"
2015-08-04,,,M,M,,,,
2015-08-05,,,"M,M",M,,,,"M,M,M"
2015-08-06,,,"M,M",M,,,,
2015-08-07,,,"M,M",M,,,,"M,M,M"
2015-08-08,,,"M,M",,,,M,"M,M"
2015-08-09,,,,M,,,M,M
2015-08-10,,,M,,,,,M
2015-08-11,,,,,,,,"M,M,M"
2015-08-12,,,"M,F,M",M,,,,M
2015-08-14,,,"M,M",M,,,,M
2015-08-15,,,,M,,,,"M,M,M"
2015-08-13,,,M,,,,,
2015-08-16,,,,"M,M",,,,M
2015-08-17,,,M,M,,,,
2015-08-19,,,"M,M",,,,,"M,M"
2015-08-20,,,,M,,,,"M,M"
2015-08-21,,,,,,,,"M,M,M,M"
2015-08-22,,,M,,,,,"M,M,M,M"
2015-08-23,,,,,,,,"M,M,M,M,M"
2015-08-25,,,M,"M,M",,,,"M,M"
2015-08-26,,,,,,,,"M,M"
2015-08-27,,,"M,M",M,,,,M
2015-08-28,,,M,M,,,,"M,M,M"
2015-08-29,,,M,"M,M",,,,
2015-08-30,,,,M,,,,M
2015-08-31,,,M,,,,,"M,M"
2015-09-01,,,"M,M",,,,,"M,M"
2015-09-02,,,,,,,,M
2015-09-04,,,,M,,,,"M,M,M,M"
2015-09-05,,,"M,M,F","M,M",,,,
2015-09-06,,,,M,,M,,"M,M"
2015-09-03,,,,M,,,,M
2015-09-07,,,M,M,,,,M
2015-09-09,,M,M,,M,,,M
2015-09-10,,M,M,"M,M",,,,M
2015-09-11,,,,,,,M,M
2015-09-12,,,,,,,,"M,M"
2015-09-13,,,M,M,,,,"M,M"
2015-09-08,,,,,M,,,M
2015-09-14,,,M,,,,,M
2015-09-15,,,M,"M,M",,,,
2015-09-16,,,M,M,,,,
2015-09-17,,,,,,,,"M,M"
2015-09-18,,,,,M,,,"M,M,M"
2015-09-19,,,,,,,,M
2015-09-20,,,,,,,,"M,M,F"
2015-09-21,,,M,"M,M",,,,"M,F,M,M,M"
2015-09-22,,,M,,,,,"M,M,M"
